Activity,HeartRate
0,110.7320483706778
0,110.7320483706778
0,110.7320483706778
0,110.7320483706778
0,110.7320483706778
0,110.7320483706778
0,110.7320483706778
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,100.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,99.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,98.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,97.0
0,96.0
0,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
1,96.0
